time,generation_kw,load_kw,generation_kwh,load_kwh,solar_used_kwh,battery_charge_kwh,battery_discharge_kwh,self_consumed_kwh,net_load_kwh,grid_import,grid_export,curtailed_kwh,unmet_load_kwh,total_soc_kwh
0.0,0.0,38.22,0.0,38.22,0.0,0.0,38.22,38.22,38.22,0.0,0.0,0.0,0.0,265.71258260945484
1.0,1.1499770555132616,38.22,1.1499770555132616,38.22,0.0,0.0,38.22,38.22,37.07002294448674,0.0,1.1499770555132616,0.0,0.0,225.42516521890968
2.0,8.137975744913527,38.22,8.137975744913527,38.22,0.0,0.0,38.22,38.22,30.08202425508647,0.0,8.137975744913527,0.0,0.0,185.13774782836452
3.0,4.848465463638928,38.22,4.848465463638928,38.22,0.0,0.0,38.22,38.22,33.37153453636107,0.0,4.848465463638928,0.0,0.0,144.8503304378194
4.0,6.272354042825788,38.22,6.272354042825788,38.22,0.0,0.0,38.22,38.22,31.94764595717421,0.0,6.272354042825788,0.0,0.0,104.56291304727424
5.0,8.15276691780027,38.22,8.15276691780027,38.22,0.0,0.0,32.67779618945547,32.67779618945547,30.06723308219973,5.542203810544526,8.15276691780027,0.0,0.0,70.11749142279075
6.0,62.40256676210644,38.22,62.40256676210644,38.22,0.0,0.0,20.22,20.22,-24.18256676210644,18.0,62.40256676210644,0.0,0.0,48.803739993255874
7.0,72.81161460137864,38.22,72.81161460137864,38.22,0.0,0.0,16.423347142091618,16.423347142091618,-34.59161460137863,21.796652857908384,72.81161460137864,0.0,0.0,31.492012069047036
8.0,77.21885560627923,38.22,77.21885560627923,38.22,0.0,0.0,10.14,10.14,-38.998855606279236,28.08,77.21885560627923,0.0,0.0,20.80351357767791
9.0,83.92073707974066,38.22,83.92073707974066,38.22,0.0,0.0,6.804414373283407,6.804414373283407,-45.70073707974067,31.41558562671659,83.92073707974066,0.0,0.0,13.631031056623664
10.0,90.7363364622646,38.22,90.7363364622646,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-52.51633646226461,34.58,90.7363364622646,0.0,0.0,9.794134162286031
11.0,96.02809696766947,38.22,96.02809696766947,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-57.80809696766947,34.58,96.02809696766947,0.0,0.0,5.957237267948397
12.0,98.40419841349059,38.22,98.40419841349059,38.22,0.0,0.0,3.6399999999999997,3.6399999999999997,-60.184198413490584,34.58,98.40419841349059,0.0,0.0,2.1203403736107633
13.0,101.4866474483476,38.22,101.4866474483476,38.22,0.0,0.0,2.0115314986267174,2.0115314986267174,-63.266647448347605,36.20846850137328,101.4866474483476,0.0,0.0,0.0
14.0,107.33379928629401,38.22,107.33379928629401,38.22,0.0,0.0,0.0,0.0,-69.11379928629401,38.22,107.33379928629401,0.0,0.0,0.0
15.0,117.2106982571977,38.22,117.2106982571977,38.22,0.0,0.0,0.0,0.0,-78.9906982571977,38.22,117.2106982571977,0.0,0.0,0.0
16.0,95.058646485591,38.22,95.058646485591,38.22,0.0,0.0,0.0,0.0,-56.838646485591,38.22,95.058646485591,0.0,0.0,0.0
17.0,76.82471338564378,38.22,76.82471338564378,38.22,0.0,0.0,0.0,0.0,-38.60471338564377,38.22,76.82471338564378,0.0,0.0,0.0
18.0,55.70921131660395,114.15859568054954,55.70921131660395,114.15859568054954,0.0,0.0,0.0,0.0,58.44938436394559,114.15859568054954,55.70921131660395,0.0,0.0,0.0
19.0,0.0,111.39438892672209,0.0,111.39438892672209,0.0,0.0,0.0,0.0,111.39438892672209,111.39438892672209,0.0,0.0,0.0,0.0
20.0,6.6372955258491135,114.53395209872167,6.6372955258491135,114.53395209872167,0.0,0.0,0.0,0.0,107.89665657287256,114.53395209872167,6.6372955258491135,0.0,0.0,0.0
21.0,12.471153453920179,102.17184188788305,12.471153453920179,102.17184188788305,0.0,0.0,0.0,0.0,89.70068843396288,102.17184188788305,12.471153453920179,0.0,0.0,0.0
22.0,15.353077942895656,38.22,15.353077942895656,38.22,0.0,0.0,0.0,0.0,22.866922057104343,38.22,15.353077942895656,0.0,0.0,0.0
